FirstName,Phone,Notes
John Doe,1234567890,Important customer - follow up needed
Jane Smith,0987654321,New lead - interested in premium package
Mike Johnson,5551234567,Existing customer - renewal due next month
Sarah Wilson,4449876543,Prospect - needs demo
David Brown,3335557777,Hot lead - ready to close
Emily Davis,2228889999,Follow up after 1 week
Robert Miller,1117778888,Qualified lead - budget approved
Lisa Garcia,9996663333,Decision maker - schedule meeting
James Rodriguez,8884441111,Technical contact - send specs
Maria Martinez,7772225555,Influencer - needs more information
Tom Anderson,6661114444,Prospect - price sensitive
Amy Taylor,5559992222,Enterprise customer - long sales cycle
Chris Lee,4447771111,Startup - quick decision maker
Rachel White,3335558888,Medium business - needs ROI analysis
Kevin Clark,2223336666,Small business - budget constraints
Jessica Hall,1114447777,Non-profit - special pricing needed
Daniel Young,9998885555,Government - compliance requirements
Michelle King,8887774444,Healthcare - HIPAA compliance
Ryan Wright,7776663333,Education - academic pricing
Stephanie Lopez,6665552222,Retail - seasonal business 
